name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_LJSimulation/1000",1,1.45227e+10,1.45225e+10,ns,,,,,
"BM_LJSimulation/2000",1,5.80859e+10,5.80847e+10,ns,,,,,
"BM_LJSimulation/3000",1,1.30725e+11,1.30722e+11,ns,,,,,
"BM_LJSimulation/4000",1,2.32339e+11,2.32334e+11,ns,,,,,
"BM_LJSimulation/5000",1,3.62946e+11,3.62939e+11,ns,,,,,
"BM_LJSimulation/6000",1,5.22717e+11,5.22706e+11,ns,,,,,
"BM_LJSimulation/7000",1,7.11431e+11,7.11416e+11,ns,,,,,
"BM_LJSimulation/8000",1,9.29498e+11,9.29476e+11,ns,,,,,
"BM_LJSimulation/9000",1,1.1765e+12,1.17647e+12,ns,,,,,
"BM_LJSimulation/10000",1,1.45273e+12,1.45269e+12,ns,,,,,
"BM_LinkedLJSimulation/1000",30,2.33175e+07,2.33167e+07,ns,,,,,
"BM_LinkedLJSimulation/2000",16,4.5159e+07,4.51574e+07,ns,,,,,
"BM_LinkedLJSimulation/3000",10,7.22807e+07,7.22787e+07,ns,,,,,
"BM_LinkedLJSimulation/4000",7,9.39556e+07,9.39532e+07,ns,,,,,
"BM_LinkedLJSimulation/5000",6,1.21455e+08,1.21452e+08,ns,,,,,
"BM_LinkedLJSimulation/6000",5,1.5564e+08,1.55635e+08,ns,,,,,
"BM_LinkedLJSimulation/7000",4,1.6805e+08,1.68044e+08,ns,,,,,
"BM_LinkedLJSimulation/8000",4,1.96304e+08,1.96297e+08,ns,,,,,
"BM_LinkedLJSimulation/9000",3,2.19766e+08,2.19758e+08,ns,,,,,
"BM_LinkedLJSimulation/10000",3,2.49297e+08,2.49287e+08,ns,,,,,
